Country,Year,Export (US$ Thousand),Import (US$ Thousand)
Norway,2021,155577307.6,145335950.9
Nepal,2021,13437485,1653715.14
Nauru,2021,110097.58,206184.61
New Zealand,2021,49928447.97,46316762.07
"Other Asia, nes",2021,375352620.6,685278836.2
Oman,2021,32956954.56,59758859.48
Pakistan,2021,72875923.26,29618546.12
Panama,2021,47818372.93,7455126.07
Pitcairn,2021,6191.21,6414.39
Peru,2021,50828364.65,65199125.07
Philippines,2021,160694229.1,108774557.2
Palau,2021,135453.13,5678.02
Papua New Guinea,2021,4385492.07,11965891.38
Poland,2021,347416542.2,297597905
"Korea, Dem. Rep.",2021,286944.74,191763.42
Portugal,2021,94093227.59,73565699.38
Paraguay,2021,11782055.93,10929697.37
Occ.Pal.Terr,2021,1855939.72,182304.66
French Polynesia,2021,2546415.42,177933.19
Qatar,2021,39425790.64,83639792.08
Romania,2021,110204789.1,88434887.49
Russian Federation,2021,369704970.1,497599095.7
Rwanda,2021,2578028.36,769436.46
Saudi Arabia,2021,173994994.4,252012136
Senegal,2021,18305116.32,3400026.67
"Serbia, FR(Serbia/Montenegro)",2021,56388198.18,26382054.99
Singapore,2021,366827604.7,297256085.2
South Georgia and the South Sa,2021,574.31,471.92
Saint Helena,2021,58277.72,39587.56
Solomon Islands,2021,485871.84,533805.39
Sierra Leone,2021,1924181.1,973295.98
El Salvador,2021,12861289.34,6500987.73
San Marino,2021,808959.29,229462.86
Somalia,2021,5249637.4,505627.11
Special Categories,2021,85490755.68,85488558.63
Saint Pierre and Miquelon,2021,123020.14,9333.92
South Sudan,2021,936088.77,567495.83
Sao Tome and Principe,2021,211799.66,28764.06
Sudan,2021,9597674.88,5447466.89
Suriname,2021,1818645.44,2217099.21
Slovak Republic,2021,93841001.82,101236207.4
Slovenia,2021,55272481.99,42934183.41
Sweden,2021,168148413.6,179311040.9
Eswatini,2021,1840828.18,2374871.16
Saint Maarten (Dutch part),2021,686994.65,71548.66
Seychelles,2021,977788.85,966694.66
Syrian Arab Republic,2021,5505023.48,1070862.78
Turks and Caicos Isl.,2021,464860.8,10992.48
Chad,2021,1320752.16,2982369.85
Togo,2021,15459931.56,3569384.44
Thailand,2021,254099887.4,320261003.2
Tajikistan,2021,5106637.56,1513165.23
Tokelau,2021,15860.75,25196.5
Turkmenistan,2021,5251422.43,8182033.02
East Timor,2021,835086.3,333577.39
Tonga,2021,236483.74,16166.67
Trinidad and Tobago,2021,6307026.16,11265757.84
Tunisia,2021,34481744.9,17268855.46
Turkey,2021,330886757,213611436.7
Tuvalu,2021,169502.57,132705.99
Tanzania,2021,18365344.1,7399362
Uganda,2021,6524047.58,3720399
Ukraine,2021,99221760.72,72144636.66
United States Minor Outlying I,2021,64353.59,17204.63
Unspecified,2021,700658405,210363799.2
Uruguay,2021,15304615.55,11773500.31
United States,2021,3291674759,1703893335
Uzbekistan,2021,25792818.06,13081868.33
Holy See,2021,160258.68,12913.84
St. Vincent and the Grenadines,2021,568836.9,121615.62
Venezuela,2021,8045060.45,3610306.16
British Virgin Islands,2021,3791789.29,307549.35
Vietnam,2021,357022783.5,420575524.8
Vanuatu,2021,404860.99,285467.91
 World,2021,24227432526,21931213223
Wallis and Futura Isl.,2021,76888.03,760.05
Samoa,2021,424488.18,41823.67
Yemen,2021,13578010.13,2186875.74
South Africa,2021,119580111.1,160980172.4
"Congo, Dem. Rep.",2021,11061690.72,17960833.79
Zambia,2021,7876466.9,9737229.46
Zimbabwe,2021,5566423.9,4333975.75
East Asia & Pacific,2021,6544385775,7405889617
Europe & Central Asia,2021,8895000033,8008407878
Latin America & Caribbean,2021,1330556860,1310305407
Middle East & North Africa,2021,1196712298,1088471257
North America,2021,3823318635,2219849283
South Asia,2021,699138012.1,472383171.1
Sub-Saharan Africa,2021,495100022.1,435046781.5
